code,title
26204,Manufacture of smart cards and related products (eg smart card readers)
26209,Manufacture of computers and peripheral equipment n.e.c.
26301,"Manufacture of telecommunications apparatus (eg pbx equipment, telephones except cellular)"
26302,"Manufacture of networking products (eg routers, switches)"
26303,Manufacture of wireless communications equipment (eg cellular phones)
26304,"Manufacture of electronic security systems (including electronic sensors, burglar and fire alarm systems)"
26309,Manufacture of communications equipment n.e.c.
26400,Manufacture of consumer electronics
26511,Manufacture and repair of engineering and scientific instruments
26512,Manufacture and repair of measuring devices (eg meters)
26513,Manufacture and repair of process control equipment and related products
26521,Manufacture of fully electronic watches and clocks
26522,Manufacture of electro-mechanical watches and clocks (eg watches and clocks with moving parts and battery)
26523,Manufacture of mechanical watches and clocks
26524,Manufacture of parts and accessories for watches and clocks
26601,Manufacture and repair of electrotherapeutic devices
26602,Manufacture and repair of irradiation and electromedical equipment and instruments
26701,Manufacture of photographic equipment and parts (including lenses)
26709,Manufacture of optical instruments and photographic equipment n.e.c.
26801,Manufacture of disk media
26802,"Manufacture of blank magnetic tapes, diskettes, bluray technology discs, cds, dvds and vcds"
27101,Manufacture and repair of electric motors
27102,Manufacture and repair of electric generators
27103,Manufacture and repair of transformers
27104,"Manufacture and repair of switchgear and switchboard apparatus (including switches, circuit breakers and electrical control panels) "
27109,"Manufacture and repair of electric motors, generators, transformers and electricity distribution and control apparatus n.e.c. (eg busbar trunking)"
27201,Manufacture of primary batteries
27202,Manufacture of secondary batteries
27321,Manufacture of telecommunications cables and wires
27322,Manufacture of electric power cables and wires
27323,"Manufacture of enamelled wires (used for winding of motors, transformers etc)"
27324,Manufacture of wire and cable assemblies and harnesses
27329,Manufacture of other electronic and electric wires and cables n.e.c.
27330,Manufacture and repair of wiring devices
27400,"Manufacture and repair of electric lamps and lighting equipment (including silver reflectors, fittings and parts) "
27501,"Manufacture of electrical household appliances (eg refrigerators, hot plates, toasters, food mixers, cookers, hair dryers, fans, shavers)"
27509,"Manufacture of domestic appliances n.e.c. (eg non-electric cooking ranges, grates, stoves) "
27901,Manufacture of fuel cells
27902,"Manufacture of electrical machinery, apparatus, appliances and supplies (including sound or visual signalling apparatus, electrical insulators except porcelain or glass) "
28111,"Manufacture and repair of engines and turbines except aircraft, vehicle, cycle and marine engines "
28112,Manufacture and repair of marine engine
28121,"Manufacture and repair of pumps (eg hydraulic pumps, drainage pumps)"
28122,"Manufacture and repair of taps, cocks and valves "
28129,"Manufacture and repair of pumps, compressors, taps and valves n.e.c. "
28141,Manufacture of bearings (including disc and ball bearings)
28142,"Manufacture and repair of gears, gearing and driving elements "
28150,"Manufacture and repair of ovens, furnaces and furnace burners"
28161,Manufacture and repair of lifting and hoisting machinery except electrical
28162,Manufacture and repair of lifts and escalators
28169,"Manufacture and repair of lifting and handling equipment n.e.c. (including conveying systems, robots, industrial automated systems and automated guided vehicles)"
28171,Manufacture of office machinery and equipment (except computers and peripheral equipment)
28172,Repair and maintenance of office machinery and equipment
28191,"Manufacture and repair of refrigerating, air-conditioning and ventilating machinery and equipment except household refrigerators"
28192,Manufacture and repair of laser equipment
28193,"Manufacture and repair of separation/mixing equipment (eg filters, separators, mixers)"
28194,Manufacture and repair of solar modules and panels
28195,Manufacture and repair of welding and soldering equipment (including arc welding electrodes)
28196,Manufacture and repair of packaging machinery
28199,Manufacture and repair of other general purpose machinery and equipment except electrical and electronic n.e.c.
28210,Manufacture and repair of agricultural and forestry machinery
28221,"Manufacture and repair of machinery and machine-tools - metal cutting types (eg lathes, milling machines, shaping machines) "
28222,"Manufacture and repair of machinery and machine-tools - metal forming types (eg forging press, cold heading machines, press breaks)"
28223,"Manufacture of dies, moulds, tools, jigs and fixtures"
28224,"Manufacture of machine tool accessories (eg small cutting tools, precision measuring tools and other attachments such as tool holders)"
28229,Manufacture and repair of metal-forming machinery and machine tools n.e.c. (including metalworking machinery)
28241,Manufacture and repair of oil rigs
28242,"Manufacture and repair of other oilfield and gasfield machinery and equipment (eg derricks, tool joints)"
28243,Manufacture and repair of construction machinery and parts
28249,"Manufacture and repair of machinery for mining, quarrying and construction n.e.c. "
28251,Manufacture and repair of machinery for food products processing
28252,Manufacture and repair of machinery for beverage production
28253,Manufacture and repair of machinery for tobacco processing
28260,"Manufacture and repair of machinery for textile, apparel and leather production "
28271,Manufacture of probe cards
28272,Manufacture of bonding tools
28273,Manufacture and repair of semiconductor assembly and testing equipment (including computer burn-in system)
28274,Manufacture and repair of semiconductor foundry equipment
28291,Manufacture and repair of water/waste water treatment equipment
28292,Manufacture and repair of plastic processing machinery
28293,Manufacture and repair of woodworking machinery
28299,"Manufacture and repair of other special purpose machinery n.e.c. (including plating equipment, industrial paint mixers and chemical mixing equipment) "
28300,"Installation of industrial machinery and equipment, mechanical engineering works"
29100,Manufacture and assembly of motor vehicles
29200,"Manufacture of motor vehicle bodies (coachwork), trailers and semi-trailers"
29300,"Manufacture of parts and accessories for motor vehicles (eg engine parts, brakes, clutches, axles, gear boxes)"
30110,"Building and repairing of ships, tankers and other ocean-going vessels (including conversion of ships into off-shore structures)"
30120,"Building and repair of pleasure crafts, lighters and boats"
30200,"Manufacture and repair of railway and tramway locomotives and rolling stock (including specialised parts except engines, electric motors and signalling equipment) "
30301,Manufacture and assembly of aircraft and spacecraft (including aircraft engines and other parts)
30302,Repair and servicing of aircraft and spacecraft (including aircraft engines and other parts)
30400,Manufacture of military fighting vehicles
30910,Manufacture and assembly of motorcycles and scooters (including engines and other parts and accessories)
30920,"Manufacture and assembly of bicycles, tricycles, trishaws and invalid carriages (including parts and accessories)"
30990,"Manufacture of other transport equipment n.e.c. (eg carts, wagons)"
31001,Manufacture of furniture and fixtures of wood (including upholstery)
31002,Manufacture of furniture of rattan and cane
31003,Manufacture of furniture and fixtures primarily of metal
31004,"Manufacture of furniture of other materials except primarily of stone, ceramic or concrete"
31005,Manufacture of window and door screens and shades
31006,Manufacture of mattresses including those of foam rubber
31009,Manufacture of furniture n.e.c.
32111,Manufacture of jewellery except costume jewellery
32112,Manufacture of pewter ware
32119,Manufacture of jewellery and related articles n.e.c. (except costume jewellery)
32120,Manufacture of costume jewellery and related articles
32200,Manufacture of musical instruments
32300,"Manufacture of sporting and athletic goods (including gym, diving and underwater equipment)"
32400,Manufacture of games and toys
32501,Manufacture of medical research and clinical diagnostic instruments and supplies (eg reagents)
32502,"Manufacture of medical disposables and surgical supplies (eg test kits, syringes, tubes, fluid administration sets)"
32503,"Manufacture of implantables and artificial limbs (eg heart valves, stents, orthopaedic implants)"
32504,"Manufacture of ophthalmic goods (eg spectacles, contact lenses and parts)"
32509,"Manufacture of medical and dental tools, instruments and supplies n.e.c."
32901,Manufacture of matches
32902,Manufacture of umbrellas
32903,"Manufacture of pens, pencils, stencils and other office materials"
32904,Manufacture of wigs and related articles
32905,"Manufacture of identification plates, badges, emblems and tags"
32906,Manufacture of signs and advertising displays (including neon-lighting)
32909,Other manufacturing industries n.e.c.
35101,Generation of electricity by fossil fuels
35102,"Generation of electricity by other sources (eg solar power, biofuels etc)"
35103,"Transmission, distribution and sale of electricity"
35104,"Other related services (eg electricity brokers, meter reading)"
35201,Manufacture of gas; distribution of gaseous fuels through mains
35202,Processing of natural gas
35203,Other related services (eg arranging for sale of natural gas)
35300,Steam and air-conditioning supply
36000,"Collection, purification and distribution of water (including desalination of water)"
37000,Operation of sewer systems (including sewer treatment facilities)
38100,Collection of waste
38200,Treatment and disposal of waste (including remediation activities)
38301,Recycling of metal waste and scrap
38309,Recycling of non-metal waste n.e.c. (eg marine clay and oil sludge)
41001,General contractors (building construction including major upgrading works)
41002,Structural repair contractors
41009,Building construction n.e.c.
42101,General contractors (non-building construction)
42102,Road construction
42103,"Bridge, tunnel, viaduct and elevated highway construction"
42201,Water and gas pipe-line and sewer construction
42202,Communications and power line construction
42901,Land reclamation works
42902,Dam and drainage construction
42903,"Marine construction (eg harbours, piers, docks, wharves)"
42909,Construction of other civil engineering projects n.e.c. (eg playground systems)
43110,Wrecking and demolition works
43121,"Soil investigation, treatment and stabilisation (including grouting and guniting)"
43122,Excavation and earthmoving works
43129,Site preparation n.e.c.
43210,Electrical works
43220,"Plumbing, heating (non-electric) and air-conditioning"
43291,"Installation and erection of building equipment (eg lifts, escalators, travellators)"
43292,Installation of fire protection and security alarm systems
43293,Installation of building automated systems for remote monitoring
43294,Installation of awning and window shades
43295,Installation of thermal and sound insulation (including solar control films)
43296,Signcraft installation
43299,Other construction installation n.e.c.
43301,Renovation contractors
43302,Tile setting and plastering
43303,Joinery and other woodworks (eg laminated or parquet flooring)
43304,Painting and decorating
43305,Glass and glazing works (including mirror and shower screen installation)
43306,Curtain walling/cladding works
43307,"Installation of doors, gates, grilles and windows"
43309,Building completion and finishing n.e.c.
43901,"Foundation works (including micropiling, conventional piling and underpinning)"
43902,"Brick laying, stone setting and cement works"
43903,Roofing works (including timber carcassing)
43904,Production of pre-cast concrete components
43905,Scaffolding works
43906,Sandblasting/shotblasting works (except ships)
43909,Other specialised construction and related activities n.e.c.
46100,Wholesale on a fee or contract basis (eg commission agents)
46211,Wholesale of cut flowers and plants
46212,Wholesale of aquarium fishes (including food and accessories)
46213,Wholesale of pet birds and animals (including food and accessories)
46219,Wholesale of agricultural raw materials and live animals except tropical produce n.e.c.
46221,Wholesale of rubber (including rubber brokers)
46222,Wholesale of pepper and other spices
46223,"Wholesale of coffee, cocoa and tea"
46224,Wholesale of coconut
46225,Wholesale of palm oil
46229,Wholesale of tropical produce n.e.c.
46301,Wholesale of fruits and vegetables
46302,"Wholesale of livestock, meat, poultry, eggs and seafood"
46303,"Wholesale of cereals, sugar, oils, sauces and dairy products"
46304,Wholesale of confectionery and bakery products
46305,Wholesale of ice-cream
46306,Wholesale of health supplements
46307,Wholesale of liquor and soft drinks
46308,Wholesale of tobacco products
46309,"Wholesale of food, beverages and tobacco n.e.c."
46411,Wholesale of textiles
46412,Wholesale of wearing apparel for adults
46413,Wholesale of children and infants�۪ wear (including products and accessories for infants)
46414,Wholesale of footwear
46415,"Wholesale of bags, luggage and travel accessories"
46416,"Wholesale of sewing and clothing accessories (eg button, thread, lace, zip)"
46421,Wholesale of jewellery
46422,Wholesale of costume jewellery
46423,Wholesale of watches and clocks
46424,Wholesale of cosmetics and toiletries
46429,Wholesale of personal effects n.e.c.
46431,"Wholesale of furniture (including mattresses, cushions)"
46432,"Wholesale of furnishings (including curtains, carpets, wallpaper)"
46433,Wholesale of lighting and lighting accessories
46434,"Wholesale of crockery, cutlery and kitchen utensils"
46435,Wholesale of household electrical appliances and equipment (including household air-conditioners)
46436,"Wholesale of audio and video equipment except electrical and electronic components (eg radio and television sets, sound reproducing and recording equipment)"
46437,Wholesale of musical instruments and scores
46439,"Wholesale of furniture, home furnishings and other household equipment n.e.c."
46441,Wholesale of sporting goods and equipment (including bicycles and healthcare equipment)
46442,"Wholesale of music and video recordings (eg record albums, compact discs, vcds, dvds) "
46443,Wholesale of toys and games
46444,Wholesale of computer games (including electronic games and video game consoles)
46449,Wholesale of sporting and other recreational goods n.e.c.
46451,Wholesale of antiques and works of art
46452,Wholesale of handicrafts and gifts
46453,Wholesale of artificial flowers and plants
46459,Wholesale of handicrafts and fancy goods n.e.c.
46461,Wholesale of medicinal and pharmaceutical products (western)
46462,Wholesale of medicine and herbs (other than western)
46471,Wholesale of paper and paper products
46472,Wholesale of packaging materials
46473,Wholesale of stationery
46474,Wholesale of books and magazines
46479,"Wholesale of paper, paper and cellophane products and stationery n.e.c."
46491,Wholesale of optical equipment and supplies (excluding binoculars)
46492,Wholesale of photographic equipment and supplies (including binoculars)
46499,Wholesale of other household goods n.e.c.
46511,Wholesale of computer hardware and peripheral equipment
46512,Wholesale of computer software (except games)
46513,"Wholesale of computer accessories (eg memory cards, computer cables) "
46521,Wholesale of telecommunications equipment
46522,Wholesale of electronic components
46523,"Wholesale of handphones and other telecommunications apparatus (eg palmtops, smart watches, wearable computer and electronic books)"
46530,"Wholesale of agricultural machinery, equipment and supplies"
46541,Wholesale of industrial machinery and equipment
46542,Wholesale of construction equipment (eg concrete mixer)
46543,"Wholesale of lifts, escalators and industrial and office air-conditioning equipment"
46544,Wholesale of electrical and wiring accessories
46549,"Wholesale of industrial, construction and related machinery and equipment n.e.c."
46551,Wholesale of marine equipment and accessories (including marine navigational equipment and radar)
46552,Wholesale of aircraft equipment and supplies (including aeronautical equipment)
46559,Wholesale of transport equipment except motor vehicles and motorcycles n.e.c.
46561,Wholesale of motor vehicles except motorcycles and scooters
46562,Wholesale of motorcycles and scooters
46563,Wholesale of parts and accessories for vehicles
46591,Wholesale of office machines and equipment (including accessories)
46592,"Wholesale of medical, professional, scientific and precision equipment"
46593,Wholesale of commercial food service equipment (eg hotel kitchen equipment)
46594,Wholesale of service establishment equipment and supplies (eg beauty salon equipment)
46595,Wholesale of security and fire-fighting equipment
46599,Wholesale of other machinery and equipment n.e.c.
46611,Wholesale of crude petroleum
46612,Wholesale of mineral fuels and lubricants
46619,"Wholesale of solid, liquid and gaseous fuels and related products n.e.c. (eg bitumen)"
46620,Wholesale of metals and metal ores except general hardware (eg steel pipes)
46631,"Wholesale of logs, sawn timber, plywood and related products"
46632,"Wholesale of general hardware (eg locks, hinges)"
46633,"Wholesale of structural clay and concrete products (eg mosaic tiles, bricks)"
46634,Wholesale of paints (including varnishes and supplies)
46635,Wholesale of glass
46639,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies n.e.c. (eg cement, sand)"
46641,Wholesale of basic industrial chemicals (except fertilisers)
46642,Wholesale of chemical fertilisers
46643,Wholesale of petrochemical products
46649,Wholesale of chemicals and chemical products n.e.c.
46651,"Wholesale of scrap, junk and waste dealers"
46659,"Wholesale of other intermediate products, waste and scrap n.e.c."
46661,Ship chandlers
46662,Ship bunkering
46691,Wholesale of animal feed
46692,Wholesale of leather and pvc materials
46693,"Wholesale of joss paper, joss sticks and other ceremonial products"
46694,Wholesale of rattan
46695,Wholesale of industrial ice (dry ice)
46699,Wholesale of other specific commodities n.e.c.
46900,General wholesale trade (including general importers and exporters)
47111,Supermarkets
47112,"Mini-marts, convenience stores and provision shops"
47191,Department stores
47192,Department stores cum supermarkets (including hypermarkets)
47199,Retail sale in other non-specialised stores n.e.c.
47211,Retail sale of fruits and vegetables
47212,"Retail sale of meat, poultry, eggs and seafood"
47213,Retail sale of confectionery and bakery products (not manufactured on site)
47214,Retail sale of health supplements
47219,Retail sale of food n.e.c.
47220,Retail sale of beverages
47230,Retail sale of tobacco products
47311,Retail sale of motor vehicles except motorcycles and scooters
47312,Retail sale of motorcycles and scooters
47313,Retail sale of tyres and batteries
47314,Retail sale of spare parts and accessories for motor vehicles
47320,"Retail sale of automotive fuel (eg petrol kiosks, cng refilling stations)"
47411,Retail sale of handphones and other telecommunications apparatus
47412,Retail sale of computer hardware and accessories and computer software (except games)
47413,Retail sale of computer games (including electronic games and video game consoles)
47414,Retail sale of computer and office equipment consumables (eg printer cartridges)
47420,"Retail sale of audio and video equipment (eg radio and television sets, sound reproducing and recording equipment)"
47510,Retail sale of textiles
47521,Retail sale of paints
47522,"Retail sale of hardware (eg chains, changkols, axes)"
47529,"Retail sale of hardware, paint and glass n.e.c. (eg wood, glass, sanitary ware, do-it-yourself materials)"
47531,"Retail sale of furniture (including mattresses, cushions)"
47532,"Retail sale of furnishings (eg curtains, carpets, pillow cases)"
47533,Retail sale of lighting and lighting accessories
47534,"Retail sale of crockery, cutlery and kitchen utensils"
47535,"Retail sale of household electrical appliances and equipment (eg vacuum cleaners, washing machines, refrigerators)"
47536,Retail sale of musical instruments and scores
47537,Retail sale of security and fire-fighting equipment
47539,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles n.e.c."
47610,"Retail sale of books, newspapers and stationery (including newsvendors)"
47620,"Retail sale of music and video recordings (eg record albums, compact discs, vcds, dvds)"
47630,"Retail sale of sports apparel and equipment (including bicycles, boats and healthcare equipment) "
47640,Retail sale of games and toys
47711,Retail sale of wearing apparel for adults
47712,Retail sale of children and infants�۪ wear (including products and accessories for infants)
47713,Retail sale of footwear
47714,"Retail sale of bags, luggage and travel accessories"
47715,"Retail sale of sewing and clothing accessories (eg button, thread, lace, zip)"
47719,"Retail sale of clothing, footwear and leather articles n.e.c."
47721,Retail sale of cosmetics and toiletries (including skin care products)
47722,Pharmacies and drug stores (western)
47723,Chinese medicine shops
47729,Retail sale of pharmaceutical and medical goods n.e.c. (eg jamu shops)
47731,Retail sale of jewellery
47732,Retail sale of costume jewellery
47733,Retail sale of watches and clocks
47739,Retail sale of personal effects n.e.c.
47741,Retail sale of antiques and works of art
47742,"Retail sale of handicrafts, collectibles and gifts"
47743,Retail sale of cut flowers (including wreaths)
47744,Retail sale of artificial flowers and plants
47745,Retail sale of aquarium fishes (including food and accessories)
47746,Retail sale of pet birds and animals (including food and accessories)
47749,"Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c."
47751,Retail sale of spectacles and other optical goods
47752,Retail sale of cameras and other photographic goods
47759,Retail sale of optical and photographic goods n.e.c.
47761,Retail sale of joss paper and other ceremonial products
47762,Retail sale of liquefied petroleum gas (lpg)
47769,Retail sale of specific commodities n.e.c. (eg jute bags)
47770,Retail sale of second-hand goods in stores
47801,Stalls (including pushcarts) selling uncooked foodstuffs
47802,Stalls (including pushcarts) selling other commodities (other than uncooked food)
47910,Retail sale via internet
47991,Retail sale via vending machines
47992,"Other retail sale not in stores, stalls or markets (eg sale via door-to-door canvassing, mail order houses, tv)"
49101,Railroad services
49102,Mass rapid transit systems (including light rail)
49211,Public bus services (scheduled services)
49212,Chartered bus services (including school buses)
49213,Inter-country bus services
49214,Taxi services
49219,Passenger land transport n.e.c. (eg private cars for hire with operator and trishaws)
49220,Aerial cableways (including cable car services)
49231,Freight transport by road
49232,"Moving services (eg delivery services, baggage transfer services, furniture moving services)"
49239,Freight land transport n.e.c. (eg rental and leasing of lorries and trucks with operator)
49300,Transport via pipelines
50011,International cruise services
50012,Other sight-seeing cruise services (eg harbour and river cruises)
50013,Passenger ferry services
50014,Chartering of ships and boats with crew (passenger)
50019,Passenger water transport n.e.c.
50021,Shipping lines
50022,Branches of foreign shipping lines
50023,"Operators of barges, tugboats and bumboats (freight)"
50024,"Chartering of ships, barges and boats with crew (freight)"
50029,Freight water transport n.e.c.
51001,Airlines (passenger)
51002,Airlines (freight)
51003,Branches of foreign airlines (passenger)
51004,Branches of foreign airlines (freight)
51005,Aircraft chartering with operator
51009,Air transport services n.e.c.
52101,General warehousing
52102,Cold storage
52103,Storage for class cargo (ie hazardous materials)
52109,Specialised storage n.e.c.
52211,Carpark management and operation services
52212,Taxi booking services
52213,Towing services
52219,Supporting services to land transport n.e.c.
52221,Representative offices of foreign shipping lines
52222,Shipping agencies (freight)
52223,Port operators
52224,Lighterage services
52225,Salvaging of distressed vessels and cargos
52226,Ship management services
52227,Ship brokering services
52229,Supporting services to water transport n.e.c.
52231,Representative offices of foreign airlines
52232,Airline agencies (freight)
52233,Airport operation services
52234,Airport terminal services
52239,Supporting services to air transport n.e.c.
52241,Cargo surveying services
52242,Container services (excluding rental of containers)
52243,Crane services (loading and unloading of cargo)
52244,Stevedoring services
52251,Classification societies
52252,Marine surveying services other than classification societies
52291,Value added logistics providers
52292,"Freight forwarding, packing and crating services"
52299,Other transportation support activities n.e.c.
53100,National post activities (eg postal services)
53200,Courier activities other than national post activities
55101,Hotels with restaurant
55102,Hotels without restaurant
55103,Chalets
55109,"Other short term accommodation activities n.e.c. (eg backpackers/travellers�۪ hostels, guesthouses etc)"
55901,Lodging and boarding houses
55909,Other accommodation n.e.c.
56111,Restaurants
56112,Cafes and coffee houses
56121,Fast food outlets
56122,"Food courts, coffee shops, and eating houses (with mainly food and beverage income)"
56123,"Snack bars and food kiosks (mainly for takeaway, including dessert/ bubble tea outlets)"
56129,Other food and beverage serving premises n.e.c.
56130,Pubs (including bars)
56140,Stalls selling cooked food and prepared drinks (including stalls at food courts and mobile food hawkers)
56201,Food caterers
56202,Canteens
58110,"Publishing of books, brochures, musical books and other publications"
58120,Publishing of directories and mailing lists
58131,Publishing of newspapers
58132,"Publishing of journals, periodicals and magazines"
58190,Other publishing activities
58201,Publishing of computer games
58202,Publishing of other software (non-computer games)
59111,Motion picture/movie production
59112,"Production of advertisements, corporate videos and event videos "
59113,"Production of dramas, variety shows and documentaries (including production of television programme) "
59114,Animation production
59119,"Motion picture, video, television and other programme production activities n.e.c."
59120,"Motion picture, video, television and other programme post-production activities"
59131,Motion picture/movie distribution
59132,"Distribution of dramas, variety shows and documentaries (including television programme) "
59139,"Motion picture, video, television and other programme distribution activities n.e.c."
59141,Cinema services
59149,Motion picture projection activities n.e.c.
59190,"Other motion picture, video, television and programme related activities"
59201,Sound recording production
59202,Music publishing and distribution activities
60100,Radio programme production and broadcasting
60200,"Television programming and broadcasting (including cable, satellite, terrestrial television, internet and mobile)"
61011,"Wired telecommunications network operation (including fixed-line, fibre optics, local/international pstn and leased circuits)"
61012,Mobile cellular and other wireless telecommunications network operation
61013,Satellite telecommunications network operation
61091,Telecommunications resellers/third party telecommunications providers (including value-added network operators)
61092,"Internet access providers, include isps "
61099,Other telecommunications activities n.e.c. (eg provision of voip (voice over internet protocol services) and cyber 'cafes' (offering internet access only))
62011,Development of e-commerce applications
62012,Development of computer games
62013,Development of software for interactive digital media (except games)
62019,Development of other software and programming activities n.e.c.
62021,Hardware consultancy (including systems consultancy)
62022,Software consultancy
62023,Computer facilities management activities
62024,Computer systems integration activities
62090,Other information technology and computer service activities (eg disaster recovery services)
63111,"Web hosting and other hosting services (eg cloud hosting, server hosting and data hosting)"
63112,Data entry services
63119,"Data processing and related activities n.e.c. (eg data tabulation services, computer time sharing services, application service providers, data storage and streaming services)"
63120,Web portals (including social networking sites)
63901,News agency activities
63909,Other information service activities n.e.c.
64110,Central bank
64121,Domestic banking units (dbu) of full banks
64122,Asian currency units (acu) of full banks
64131,Domestic banking units (dbu) of wholesale banks
64132,Asian currency units (acu) of wholesale banks
64141,Domestic banking units (dbu) of offshore banks
64142,Asian currency units (acu) of offshore banks
64151,Domestic banking units (dbu) of merchant banks
64152,Asian currency units (acu) of merchant banks
64160,Finance companies (with deposit taking functions)
64190,Other monetary intermediation
64201,Bank/financial holding companies
64202,Other holding companies
64300,"Trusts, funds and similar financial entities (eg collective portfolio investment funds (excluding those with rental income)) "
64910,Financial leasing companies
64921,Thrift and loan societies and credit associations
64922,Credit card services
64923,Mutual benefits organisations
64924,Money-lending
64925,Pawnbrokerage
64929,Other credit agencies n.e.c. (eg motor finance)
64991,Factoring companies
64992,Representative offices of foreign banks
64993,Money-changing services
64994,Remittance services
64995,Treasury centres
64999,"Other financial service activities, except insurance and pension funding activities n.e.c."
65110,Life insurance
65121,Marine insurance
65122,Captive insurance
65123,"Import, export and credit insurance"
65124,"General insurance (except marine and import, export & credit insurance) "
65201,Life reinsurance
65202,General reinsurance
65301,Provident funding
65302,Pension funding
66111,Securities exchange
66119,Administration of financial markets n.e.c.
66121,"Stock, share and bond brokers and dealers"
66122,Foreign exchange brokers and dealers
66123,Gold bullion brokers and dealers
66124,Commodity and futures brokers and dealers
66125,Carbon credit brokers/traders
66129,Security dealings and commodity contracts brokerage activities n.e.c.
66191,"Trustee, fiduciary and custody services firms (including nominee companies, trustees and reit trustees)"
66192,Corporate finance advisory services
66193,Clearing and settlement of financial instruments
66194,Activities auxiliary to fund management activities (eg independent fund administration firms)
66199,Other activities auxiliary to financial service activities n.e.c. (eg mortgage advisory firms)
66210,"Risk and damage evaluation (eg loss adjusting, claims adjusting)"
66221,Insurance agencies and agents (excluding financial advisory firms and advisers)
66222,Financial advisory firms and advisers (including firms providing financial planning services)
66223,Insurance brokers
66291,Representative offices of foreign insurers and professional reinsurers
66292,Captive managers
66299,Other activities auxiliary to insurance and pension funding n.e.c. (eg activities of actuaries)
66301,Asset/portfolio management
66302,Hedge fund management
66303,Property fund management (including reit management and direct property fund management)
66304,Private equity firms (including venture capital companies)
66309,Fund management activities n.e.c.
68101,Real estate developers
68102,Operating of serviced apartments
68103,"Letting and operating of self-owned real estate except hotels, lodging and boarding houses"
68104,"Letting and operating of food courts, coffee shops and eating houses (with mainly rental income)"
68105,Collective portfolio investment funds with rental income
68106,Management of self-owned strata titled property
68109,Real estate activities with own or leased property n.e.c.
68201,Real estate agencies and valuation services
68202,Town councils
68203,Residential real estate management other than town councils
68204,Commercial and industrial real estate management
68209,Real estate activities on a fee or contract basis n.e.c.
69100,Legal activities
69201,Accounting and auditing services (including taxation advisory services)
69202,Book-keeping services
70101,Activities of head and regional head offices; centralised administrative offices and subsidiary management offices
70102,Business representative offices
70201,Business and management consultancy services (general)
70202,Management consultancy services for healthcare organisations
70203,Hotel management consultancy services
70204,Human resource consultancy services
70205,Public relations consultancy services
70209,Business and management consultancy services n.e.c.
71111,Architectural services
71112,Landscape design and landscape architecture
71113,Quantity surveying services
71114,Land surveying services
71119,"Other surveying services n.e.c. (eg geophysical, geologic, seismic,  hydrographic surveying services)"
71121,General building engineering design and consultancy services
71122,Process and industrial plant engineering design and consultancy services
71123,Engineering design and consultancy services in energy management and clean energy systems
71124,Environmental engineering design and consultancy services (except clean energy)
71125,Infrastructure engineering design and consultancy services
71126,"Engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities "
71129,Engineering design and consultancy activities n.e.c.
71200,Technical testing and analysis services (including certification of products and services)
72101,"Research and experimental development on biotechnology, life and medical science"
72102,Research and experimental development on electronics
72103,Research and experimental development on chemicals
72104,Research and experimental development on engineering
72105,Research and experimental development on it
72106,Research and experimental development on environment and clean technologies
72107,Research and experimental development on medical technologies
72109,Research and experimental development on natural sciences n.e.c.
72200,Research and experimental development on social sciences and humanities
73100,Advertising activities
73201,Infocomm market research
73202,Other market research and public opinion polling (non-infocomm)
74111,Electronics-related industrial design services
74112,Transport-related industrial design services
74113,Furniture design services
74119,Product and industrial design activities n.e.c.
74191,Interior design services
74192,Art and graphic design services
74193,Fashion (including accessories) design services
74194,Exhibition stand design services
74199,Other specialised design activities n.e.c.
74201,Photo taking services (eg portrait or studio photography)
74202,Photo processing and finishing services
74209,Photographic activities n.e.c.
74901,Translation services
74902,Arbitration and mediation services
74903,Brokerage and consultancy services of intellectual property assets
74904,Agrotechnology consultancy services
74905,Carbon consultancy services
74906,"Agents for artistes, athletes, models and other performers"
74909,"Other professional, scientific and technical activities n.e.c."
75000,Veterinary activities
77101,Renting and leasing of private cars without operator
77109,"Renting and leasing of land transport equipment without operator n.e.c. (including lorries, trucks, caravans, scooters, containers, trailers)"
77210,"Renting and leasing of recreational and sports goods (eg pleasure boats, bicycles)"
77220,Renting of vcds and dvds
77291,"Renting and leasing of furniture, utensils and other household equipment"
77292,Renting of attire (eg costumes)
77299,"Renting and leasing of other personal and household goods n.e.c. (eg books, music instruments, electronic equipment for household use)"
77310,Renting of water transport equipment without operator (eg commercial boats and ships without operator)
77320,Renting of air transport equipment without operator (eg airplanes without operator)
77330,Renting of construction and civil engineering machinery and equipment
77341,Renting of computers and peripheral equipment
77342,Renting of office machinery and equipment
77391,Renting and leasing of professional radio and television sets and sound reproducing and recording equipment
77392,Renting of industrial machinery and equipment
77399,"Renting of other machinery, equipment and tangible goods n.e.c. (eg agricultural machinery and equipment)"
77400,"Leasing of non-financial intangible assets (eg patents, trademarks, brand names etc)"
78101,It manpower contracting services
78102,Labour contracting services (excluding it manpower)
78103,Maid agencies
78104,Employment agencies (excluding maid agencies)
78105,Executive search services
78300,Management of human resource functions
79101,Travel agencies and tour operators (mainly inbound)
79102,Travel agencies and tour operators (mainly outbound)
79103,"Ticketing agencies (including airline, tour bus and cruise ship) "
79900,"Other reservation service activities (eg timeshare, on-line hotel reservation services, reservation of tickets for performances etc)"
